2015/10/7,17.5,22.4,13.8
2015/10/8,19.4,24.6,12.1
2015/10/9,20.2,25.5,15.3
2015/10/10,18.3,20.4,14.6
2015/10/11,18.9,21.0,16.4
2015/10/12,18.7,23.1,15.4
2015/10/13,18.8,24.2,14.2
2015/10/14,18.4,23.2,14.9
2015/10/15,18.8,23.1,13.7
2015/10/16,15.6,17.6,14.9
2015/10/17,17.5,20.3,15.7
2015/10/18,18.8,23.9,15.8
2015/10/19,19.0,24.3,14.6
2015/10/20,19.0,23.9,15.5
2015/10/21,17.2,20.8,15.3
2015/10/22,17.4,23.2,13.5
2015/10/23,17.9,21.3,15.7
2015/10/24,19.0,23.9,15.2
2015/10/25,16.1,19.9,13.1
2015/10/26,15.5,20.4,11.7
2015/10/27,18.3,24.9,10.3
2015/10/28,20.8,26.1,16.1
2015/10/29,17.1,19.1,15.4
2015/10/30,17.1,21.6,14.0
2015/10/31,14.4,16.6,11.8
2015/11/1,13.1,17.4,9.5
2015/11/2,12.7,15.3,9.6
2015/11/3,16.2,21.3,12.3
2015/11/4,14.4,20.1,9.6
2015/11/5,15.1,21.1,10.3
2015/11/6,16.4,22.2,10.5
2015/11/7,16.5,20.9,13.0
